iter	Passed	Remaining
0	1	144
1	2	129
2	3	123
3	5	124
4	6	123
5	8	135
6	11	147
7	12	142
8	13	141
9	15	137
10	16	134
11	18	132
12	20	137
13	22	137
14	23	134
15	25	131
16	26	128
17	27	125
18	28	122
19	29	119
20	32	120
21	33	120
22	35	117
23	36	115
24	37	112
25	38	110
26	40	108
27	41	106
28	43	107
29	45	105
30	46	103
31	47	101
32	49	100
33	50	98
34	51	96
35	53	95
36	55	94
37	56	91
38	57	89
39	58	88
40	59	86
41	60	84
42	62	82
43	63	81
44	65	80
45	67	78
46	68	76
47	69	74
48	70	73
49	71	71
50	72	69
51	73	67
52	75	67
53	76	65
54	77	63
55	79	62
56	80	60
57	81	58
58	82	57
59	83	55
60	84	54
61	87	53
62	88	51
63	89	50
64	90	48
65	91	47
66	92	45
67	93	44
68	94	42
69	96	41
70	99	40
71	100	39
72	101	37
73	102	36
74	103	34
75	104	33
76	105	31
77	106	30
78	108	28
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	19
86	117	17
87	118	16
88	120	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	133	1
99	135	0
